*ItemID,*ItemName,*Price,*CategoryName,AvailabilitySchedule,*AvailableStatus,Description,Photo1,Photo2,Photo3,Photo4,OptionGroup1,OptionGroup2,OptionGroup3,OptionGroup4,OptionGroup5,StoreID
"[โปรดอย่าลบหรือแก้ไขแถวที่ 1 และ 2]
รหัสรายการ 
รหัสเฉพาะของรายการบน Grab จำเป็นต้องกรอกคอลัมน์นี้เมื่อจะอัปเดตรายการ กรุณาอย่าแก้ไขรหัสรายการของคุณ","Iชื่อรายการ 
ชื่อของรายการ คอลัมน์นี้ต้องไม่เว้นว่างและต้องมีความยาวไม่เกิน 80 ตัวอักษร","ราคา 
ราคารายการในสกุลเงินท้องถิ่น คอลัมน์นี้ต้องไม่เว้นว่าง","ชื่อหมวดหมู่ 
หมวดหมู่ของรายการนี้ คอลัมน์นี้ต้องไม่เว้นว่างและต้องมีความยาวไม่เกิน 60 ตัวอักษร","(ไม่บังคับ) เวลาที่พร้อมจำหน่าย 
ชื่อช่วงเวลาที่รายการนี้พร้อมจำหน่าย เวลาที่จำหน่ายจะเป็นตัวกำหนดเวลาให้บริการภายในสัปดาห์ของหมวดหมู่และรายการที่อยู่ภายใต้ช่วงเวลานั้นๆ หากคุณเว้นว่าง ระบบจะเลือกช่วงเวลาตั้งต้นซึ่งหมายถึงพร้อมจำหน่ายทุกเวลา หากคุณระบุชื่อ ระบบจะหาช่วงเวลาที่มีอยู่ในชื่อนั้นๆ","สถานะความพร้อมจำหน่าย 
ความพร้อมจำหน่ายของรายการ
ระบุได้เฉพาะสถานะต่อไปนี้:
- AVAILABLE(พร้อมจำหน่าย)
- UNAVAILABLE_TODAY(ของหมดวันนี้)
- UNAVAILABLE_PERMANENTLY(ของหมดไม่มีกำหนด)","(ไม่บังคับ) คำอธิบาย 
คำอธิบายของรายการนี้ คอลัมน์นี้ควรยาวไม่เกิน 300 ตัวอักษร","(ไม่บังคับ) รูปภาพที่ 1 
ชื่อไฟล์ของรูปภาพและรูปแบบไฟล์ (เฉพาะไฟล์ .png หรือ .jpg) โปรดอัปโหลดไฟล์รูปภาพไปยังไดเร็กทอรี /images อนุญาตให้มีรูปภาพได้เพียง 4 รูปต่อชื่อรายการ จำกัดขนาดไฟล์รูป <=2MB","(ไม่บังคับ) รูปภาพที่ 2 
ชื่อไฟล์ของรูปภาพและรูปแบบไฟล์ (เฉพาะไฟล์ .png หรือ .jpg) โปรดอัปโหลดไฟล์รูปภาพไปยังไดเร็กทอรี /images อนุญาตให้มีรูปภาพได้เพียง 4 รูปต่อชื่อรายการ จำกัดขนาดไฟล์รูป <=2MB","(ไม่บังคับ) รูปภาพที่ 3 
ชื่อไฟล์ของรูปภาพและรูปแบบไฟล์ (เฉพาะไฟล์ .png หรือ .jpg) โปรดอัปโหลดไฟล์รูปภาพไปยังไดเร็กทอรี /images อนุญาตให้มีรูปภาพได้เพียง 4 รูปต่อชื่อรายการ จำกัดขนาดไฟล์รูป <=2MB","(ไม่บังคับ) รูปภาพที่ 4 
ชื่อไฟล์ของรูปภาพและรูปแบบไฟล์ (เฉพาะไฟล์ .png หรือ .jpg) โปรดอัปโหลดไฟล์รูปภาพไปยังไดเร็กทอรี /images อนุญาตให้มีรูปภาพได้เพียง 4 รูปต่อชื่อรายการ จำกัดขนาดไฟล์รูป <=2MB","(ไม่บังคับ) ตัวเลือกเสริมที่ 1 
ตัวเลือกเสริมและตัวเลือกที่ใช้กับรายการนี้ หากต้องการเชื่อมหลายตัวเลือกเสริมเข้ากับหนึ่งรายการ ให้เพิ่มคอลัมน์ใหม่ OptionGroup ใหม่ (ตัวอย่าง: OptionGroup2, OptionGroup3)

โปรดระบุค่าและใช้รูปแบบต่อไปนี้เพื่อสร้างค่าที่ถูกต้อง:
- ตัวเลือกเสริม
- จำนวนตัวเลือกขั้นต่ำ
- จำนวนตัวเลือกสูงสุด
- ชื่อตัวเลือกแรก
- ราคาของตัวเลือกแรก
- ชื่อของตัวเลือกที่สอง
- ราคาของตัวเลือกที่สอง

รูปแบบ: ชื่อ##จำนวนตัวเลือกขั้นต่ำ-จำนวนตัวเลือกสูงสุด##ชื่อตัวเลือก1:ราคา#ชื่อตัวเลือก2:ราคา
ตัวอย่าง: ขนาด##1-1##ใหญ่:5#ปกติ:3#เล็ก:2",,,,,IMPORTANT: Do not make changes to any store IDs.
THITE2024040707260098745,โกโก้มิ้นต์ (เย็น/ปั่น),49,"Signature Drinks (เย็น, ปั่น)",All opening hours,AVAILABLE,"โกโก้หอมมิ้นต์เย็นสดชื่น, ลิ้มลองได้ทุกที่!",https://food-cms.grab.com/item/THITE2024040707260098745/photos/menueditor_item_0278a1a344424568b35a5e15f8114eca_1772864251206916717.jpg,,,,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):18,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,,3-C6J1BCNXTYKTLX
THITE2024040717425233219,เสาวรสโซดา,27,อินตาเลียนโซดา,All opening hours,AVAILABLE,"เสาวรสโซดาสดชื่น, หวานหอมละมุน, พร้อมส่งทันที!",https://food-cms.grab.com/item/THITE2024040717425233219/photos/menueditor_item_189a060a12824a989627d0fbfe9a4602_1772969743487387038.jpg,,,,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,,,3-C6J1BCNXTYKTLX
THITE2025031313345655541,0% แคล ชาลิ้นจี่,27,0% แคล ชาเพื่อสุขภาพ,All opening hours,AVAILABLE,หอมละมุนจากชาเขียวมะลิ ผสานความหวานหอมของลิ้นจี่แท้ๆ ปรุงรสด้วยหญ้าหวานแทนน้ำตาล ไม่มีแคลอรี่ ดื่มง่าย สดชื่นลงตัว เหมาะสำหรับสายสุขภาพและคนที่มองหาเครื่องดื่มชาเพื่อความสดชื่นแบบไร้กังวล,https://food-cms.grab.com/item/THITE2025031313345655541/photos/menueditor_item_3b86013f04b44810901fa654a6c4a1a3_1741872826552528412.jpg,,,,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,,,3-C6J1BCNXTYKTLX
THITE2025030204230004357,กาแฟสด ลองแบล็คร้อน (Long Black) ร้อน,36,* กาแฟสด อื่นๆ ร้อน,All opening hours,AVAILABLE,ลองแบล็คร้อน – กาแฟดำเข้มข้นที่ได้จากเอสเปรสโซ่สองช็อต เทลงบนน้ำร้อน เพื่อให้คงกลิ่นหอมและครีม่าของกาแฟไว้อย่างสมบูรณ์ ให้รสชาติที่เข้มข้นแต่กลมกล่อม เหมาะสำหรับคอกาแฟที่ต้องการรสชาติแท้ของกาแฟดำ,https://food-cms.grab.com/item/THITE2025030204230004357/photos/menueditor_item_8f67e447385044e19dec779b321aa727_1740889347707986967.jpg,,,,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ:14,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,,,3-C6J1BCNXTYKTLX
THITE2025031014540871357,กาแฟสดโซดา เอสเปรสโซ่บลูฮาวาย เย็น 16 ออนซ์,36,* กาแฟสดฟิวชันสดชื่น,All opening hours,AVAILABLE,เอสเปรสโซ่บลูฮาวายโซดาเย็น – เอสเปรสโซ่เข้มข้น ผสานกับความเปรี้ยวหวานสดชื่นของบลูฮาวาย เติมความซ่าแบบโซดา ให้รสชาติสดชื่น มีชีวิตชีวา ดื่มแล้วตื่นตัว รีเฟรชทุกแก้ว,https://food-cms.grab.com/item/THITE2025031014540871357/photos/menueditor_item_5c74a42adb4e44338fabfcb34545307c_1741618419917114744.jpeg,,,,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ:14,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,,3-C6J1BCNXTYKTLX
THITE2024040717514916315,เขียวมะนาวโซดา,41,อินตาเลียนโซดา,All opening hours,AVAILABLE,"เขียวมะนาวโซดาเย็นฉ่ำ, รสชาติที่ต้องลอง, ส่งตรงถึงคุณ!",https://food-cms.grab.com/item/THITE2024040717514916315/photos/menueditor_item_4908fd4d06ec44bd8983c1307e19ce5d_1772965657434487793.jpg,,,,ช็อตมะนาว##1-1##ไม่เพิ่ม:0#เพิ่ม 1 ช็อต:11,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,,3-C6J1BCNXTYKTLX
THITE2025031216212849882,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,50,* กาแฟสด อื่นๆ ร้อน,All opening hours,AVAILABLE,โอวัลตินเอสเปรสโซ่ร้อน – เอสเปรสโซ่เข้มข้น ผสานกับโอวัลตินหอมมัน ให้รสชาติหวานละมุน กลมกล่อมลงตัวระหว่างความเข้มของกาแฟและความนุ่มของโอวัลติน อุ่นกำลังดี ดื่มแล้วรู้สึกอบอุ่นและสดชื่นในทุกแก้ว,https://food-cms.grab.com/item/THITE2025031216212849882/photos/menueditor_item_cdfb30cd9e674f028cc45df4757ee50f_1741796462612862570.jpeg,,,,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ:14,,,,3-C6J1BCNXTYKTLX
THITE2025091016480045690,Ice Cream To-Go แก้วใหญ่ 16oz (แถมถุงเย็น),36,เบเกอรี่ & ไอศครีม,All opening hours,AVAILABLE,ไอศกรีมซอฟเสิร์ฟ 200 กรัม เนื้อนุ่มละมุน ละลายในปาก เลือกท็อปปิ้งได้ตามใจ ทั้งไข่มุก วุ้นกบ หรือบุกหนึบ สั่งเดลิเวอรี่วันนี้ แถมถุงเก็บความเย็นฟรี สดใหม่จนถึงมือคุณ,https://food-cms.grab.com/item/THITE2025091016480045690/photos/menueditor_item_6802b7aaa213475b854bf7dbde1741cf_1757522800151769115.jpg,,,,รสชาติ ไอศครีม##1-1##นม:0#>รสอื่นๆ<  (แรนด้อม):0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,,,,3-C6J1BCNXTYKTLX
THITE2024040706063632592,ชาเสาวรส,27,ชา,All opening hours,AVAILABLE,"ชาเสาวรสตรงจากผลไม้สด, หอมหวานละมุน, พร้อมส่ง!",https://food-cms.grab.com/item/THITE2024040706063632592/photos/menueditor_item_c57628d8def54cfe91537b0d63b7453d_1772893112560217711.jpg,,,,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,,,3-C6J1BCNXTYKTLX
