*ItemID,*ItemName,*Price,StoreID
"[โปรดอย่าลบหรือแก้ไขแถวที่ 1 และ 2]
รหัสรายการ 
รหัสเฉพาะของรายการบน Grab จำเป็นต้องกรอกคอลัมน์นี้เมื่อจะอัปเดตรายการ กรุณาอย่าแก้ไขรหัสรายการของคุณ","Iชื่อรายการ 
ชื่อของรายการ คอลัมน์นี้ต้องไม่เว้นว่างและต้องมีความยาวไม่เกิน 80 ตัวอักษร","ราคา 
ราคารายการในสกุลเงินท้องถิ่น คอลัมน์นี้ต้องไม่เว้นว่าง",IMPORTANT: Do not make changes to any store IDs.
THITE2024040710315731824,ชานมไข่มุก (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2024040706413750755,มอคค่า (เย็น/ปั่น),37,3-C6J1BCNXTYKTLX
THITE2024040717412705402,น้ำผึ้งมะนาวโซดา,24,3-C6J1BCNXTYKTLX
THITE2025030814484113955,กาแฟสด บ๊วยเอสเปรสโซ่ เย็น 16 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2025030701462873604,กาแฟสด กาแฟโบราณ เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2024040717465154956,บ๊วยโซดา,27,3-C6J1BCNXTYKTLX
THITE2025031615104196908,0% แคล ชามะลิ,24,3-C6J1BCNXTYKTLX
THITE2024040706364776567,เนสกาแฟ (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2025041914072452405,เจลลี่ผลไม้,6,3-C6J1BCNXTYKTLX
THITE2024040707325415876,ชาสตรอว์เบอร์รี,24,3-C6J1BCNXTYKTLX
THITE2025031015005084849,กาแฟสดโซดา เอสเปรสโซ่บ๊วย เย็น 16 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2024040707252340725,โกโก้สตรอว์เบอร์รี (เย็น/ปั่น),44,3-C6J1BCNXTYKTLX
THITE2024040707292383933,ชาดำเย็น,24,3-C6J1BCNXTYKTLX
THITE2025031216180413409,ช็อกโกแลตมิลค์ร้อน 12 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2026022110521721472,โกโก้ลาวาช็อกขูด (เย็น/ปั่น),54,3-C6J1BCNXTYKTLX
THITE2025030701390513267,ช็อกโกแลตมิลค์ เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2024040707271418803,ชาไทย (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2026061907370104061,วาฟเฟิลเบลเยียม โฮมเมด,15,3-C6J1BCNXTYKTLX
THITE2025070208584110777,มิกซ์เบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,56,3-C6J1BCNXTYKTLX
THITE2025031015014747584,กาแฟสดโซดา เอสเปรสโซ่มะม่วง เย็น 16 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2024040706423059338,ลาเต้ (เย็น/ปั่น),37,3-C6J1BCNXTYKTLX
THITE2025070506145483735,มะม่วงปั่น แก้วใหญ่ 22 ออนซ์,44,3-C6J1BCNXTYKTLX
THITE2025030916034890533,กาแฟสด น้ำผึ้งมะนาว เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2025041914163553207,บุกน้ำผึ้ง,13,3-C6J1BCNXTYKTLX
THITE2025052911224715011,น้ำเต้าหู้เผือก (เย็น/ปั่น),39,3-C6J1BCNXTYKTLX
THITE2025031615252960163,0% แคล โซดาน้ำผึ้ง,22,3-C6J1BCNXTYKTLX
THITE2024040707231404048,ไมโล (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2025031014594009959,กาแฟสดโซดา เอสเปรสโซ่ลิ้นจี่ เย็น 16 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2025062904070710229,สตรอเบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2024040707202281144,นมสดเผือก (เย็น/ปั่น),49,3-C6J1BCNXTYKTLX
THITE2024040710340384853,ชานมใต้หวัน (เย็น/ปั่น),24,3-C6J1BCNXTYKTLX
THITE2024040707194946026,นมชมพู (เย็น/ปั่น),37,3-C6J1BCNXTYKTLX
THITE2025111605543759976,ซอฟต์คุกกี้ โฮมเมด (เลือกได้),17,3-C6J1BCNXTYKTLX
THITE2025051306313953891,มัทฉะมะพร้าวนม,55,3-C6J1BCNXTYKTLX
THITE2025070301214813758,(สมูทตี้) ส้ม แก้วใหญ่ 22 ออนซ์,59,3-C6J1BCNXTYKTLX
THITE2025070209011084247,(สมูทตี้) มิกซ์เบอร์รี่ แก้วใหญ่ 22 ออนซ์,69,3-C6J1BCNXTYKTLX
THITE2024040717444560970,ลิ้นจี่โซดา,22,3-C6J1BCNXTYKTLX
THITE2025070301062095896,ส้มปั่น แก้วใหญ่ 22 ออนซ์,44,3-C6J1BCNXTYKTLX
THITE2024040706410295183,โกปี๊ โบราณ (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2026020307474365114,ชาจัสมินฝูเจี้ยน (เย็น/ปั่น) 16 oz,37,3-C6J1BCNXTYKTLX
THITE2024040707283813818,ชาเขียวมะลิ,24,3-C6J1BCNXTYKTLX
THITE2024041801493175997,ชามิกซ์เบอร์รี่,49,3-C6J1BCNXTYKTLX
THITE2024040707184769083,นมสดคาราเมล (เย็น/ปั่น),49,3-C6J1BCNXTYKTLX
THITE2025092808511424302,บราวนี่โฮมเมด,15,3-C6J1BCNXTYKTLX
THITE2025041914141523907,บุกบราวน์ชูการ์,13,3-C6J1BCNXTYKTLX
THITE2025041914183022301,บุกน้ำตาล,13,3-C6J1BCNXTYKTLX
THITE2025030204230004357,กาแฟสด Long Black (ลองแบล็ค) ร้อน 12 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2025030814535696845,กาแฟสด เสาวรสเอสเปรสโซ่ เย็น 16 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2025031216192272991,กาแฟสด คาราเมลลาเต้ร้อน 12 ออนซ์,45,3-C6J1BCNXTYKTLX
THITE2025032907481742300,0% โคล่าโซดามะนาว,22,3-C6J1BCNXTYKTLX
THITE2025030204271845735,กาแฟสด Flat White (แฟลตไวท์) ร้อน 12 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2025041914110920164,ไข่มุก,6,3-C6J1BCNXTYKTLX
THITE2024040706063632592,ชาเสาวรส,24,3-C6J1BCNXTYKTLX
THITE2025031715441937496,0% แคล โซดาฟรุตพันช์,22,3-C6J1BCNXTYKTLX
THITE2025052911074637852,น้ำเต้าหู้สูตรดั้งเดิม (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2024040707275712045,ชาเขียวนม (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2025052911173620595,น้ำเต้าหู้โอวัลติน (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2025031715392960627,0% แคล โซดาแคนตาลูป,22,3-C6J1BCNXTYKTLX
THITE2025031615083861257,0% แคล ชาแคนตาลูป,24,3-C6J1BCNXTYKTLX
THITE2025031313362137067,0% แคล ชาสละ,24,3-C6J1BCNXTYKTLX
THITE2025081608253288439,ชิโอปัง (Shio Pan) โฮมเมด ใหญ่ขึ้น,20,3-C6J1BCNXTYKTLX
THITE2025031615302567651,0% แคล โซดาองุ่น,22,3-C6J1BCNXTYKTLX
THITE2024040707214483215,นมมรกต (เย็น/ปั่น),37,3-C6J1BCNXTYKTLX
THITE2024040707312107590,ชาแอปเปิ้ล,24,3-C6J1BCNXTYKTLX
THITE2025052911092659849,น้ำเต้าหู้นมสด (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2025030213003197830,กาแฟสด Caramel Macchiato (คาราเมลมัคคิอาโต้) ร้อน 12 ออนซ์,45,3-C6J1BCNXTYKTLX
THITE2024042114222935612,ชาไทยชีส (เย็น/ปั่น),54,3-C6J1BCNXTYKTLX
THITE2024040710400760215,ชานมเฮเซลนัท (เย็น/ปั่น),37,3-C6J1BCNXTYKTLX
THITE2025041912314756634,เพียวมัทฉะ (Pure Matcha),37,3-C6J1BCNXTYKTLX
THITE2025061205575822050,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,19,3-C6J1BCNXTYKTLX
THITE2025030204120972961,กาแฟสด Cappuccino (คาปูชิโน่) ร้อน 12 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2025061205483737785,วุ้นกบไต้หวัน,8,3-C6J1BCNXTYKTLX
THITE2024040710404575752,ชานมกาแฟ (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2025032907504195386,0% โคล่าโซดา,22,3-C6J1BCNXTYKTLX
THITE2024041801540777155,ชาส้มยูสุ,49,3-C6J1BCNXTYKTLX
THITE2025051306225277163,มัทฉะมะพร้าว,55,3-C6J1BCNXTYKTLX
THITE2025031216202713290,กาแฟสด เฮเซลนัทมอคค่าร้อน 12 ออนซ์,45,3-C6J1BCNXTYKTLX
THITE2024041801473341445,ชาผลไม้รวม,49,3-C6J1BCNXTYKTLX
THITE2025022802352904031,กาแฟสด ลาเต้ เย็น 16 ออนซ์,45,3-C6J1BCNXTYKTLX
THITE2024040706435529563,โกปี๊อ้อ (โอเลี้ยง) (เย็น/ปั่น),24,3-C6J1BCNXTYKTLX
THITE2025052103271268930,เฉาก๊วยหนึบเนื้อแน่น,9,3-C6J1BCNXTYKTLX
THITE2024040717514916315,เขียวมะนาวโซดา,24,3-C6J1BCNXTYKTLX
THITE2024040717510158162,แดงโซดา,22,3-C6J1BCNXTYKTLX
THITE2024040717420086096,สตรอว์เบอร์รีโซดา,22,3-C6J1BCNXTYKTLX
THITE2025030914395083402,กาแฟสด ไมโลกาแฟ เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2025030203453808475,กาแฟสด อเมริกาโน่ (Americano) ร้อน 12 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2025041914214231373,ครีมซีส,25,3-C6J1BCNXTYKTLX
THITE2025041912131389395,มัทฉะบราวน์ชูการ์ไข่มุก (Matcha Brown Sugar Boba),55,3-C6J1BCNXTYKTLX
THITE2025022802363923759,กาแฟสด เอสเปรสโซ่ เย็น 16 ออนซ์,45,3-C6J1BCNXTYKTLX
THITE2025091712403938448,ชาอู่หลงน้ำผึ้ง,29,3-C6J1BCNXTYKTLX
THITE2025030814395904894,กาแฟสด บลูฮาวายเอสเปรสโซ่ เย็น 16 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2024040717425233219,เสาวรสโซดา,22,3-C6J1BCNXTYKTLX
THITE2025030517370006186,กาแฟสด คาราเมลมัคคิอาโต้ เย็น 16 ออนซ์,45,3-C6J1BCNXTYKTLX
THITE2024040717452913889,บลูเบอร์รี่โซดา,22,3-C6J1BCNXTYKTLX
THITE2025031615280773790,0% แคล โซดาน้ำผึ้งมะนาว,22,3-C6J1BCNXTYKTLX
THITE2024040717493302365,แอปเปิ้ลโซดา,22,3-C6J1BCNXTYKTLX
THITE2025030914322512524,กาแฟสด โอเลี้ยงเฮเซลนัท เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2025052911300384543,น้ำเต้าหู้โกโก้ (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2025031715420228735,0% แคล โซดาพีช,22,3-C6J1BCNXTYKTLX
THITE2025031410215706264,0% แคล ชาพีช,24,3-C6J1BCNXTYKTLX
THITE2025091712364162544,ชาอู่หลงเย็น,24,3-C6J1BCNXTYKTLX
THITE2025022802341811174,กาแฟสด อเมริกาโน่ เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2024040707304376427,ชาลิ้นจี่,24,3-C6J1BCNXTYKTLX
THITE2025031014540871357,กาแฟสดโซดา เอสเปรสโซ่บลูฮาวาย เย็น 16 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2024040710375695244,ชานมเผือก (เย็น/ปั่น),37,3-C6J1BCNXTYKTLX
THITE2025030517315435977,กาแฟสด มอคค่า เย็น 16 ออนซ์,45,3-C6J1BCNXTYKTLX
THITE2025071208321337950,นมสดมันม่วง,49,3-C6J1BCNXTYKTLX
THITE2024040710392207291,ชานมมิ้นต์ (เย็น/ปั่น),37,3-C6J1BCNXTYKTLX
THITE2025030914361370675,กาแฟสด ช็อกโกแลตเอสเปรสโซ่ เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2025030203520684151,กาแฟสด Espresso (เอสเปรสโซ่) ร้อน 12 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2024040710371374638,ชานมไข่มุกบราวน์ชูการ์ (เย็น/ปั่น),49,3-C6J1BCNXTYKTLX
THITE2025031216222687111,กาแฟสด โกโก้มอคค่าร้อน,37,3-C6J1BCNXTYKTLX
THITE2025031410255226364,0% แคล ชาน้ำผึ้งมะนาว,24,3-C6J1BCNXTYKTLX
THITE2025091016480045690,Ice Cream To-Go แก้วใหญ่ 16oz (แถมถุงเย็น),29,3-C6J1BCNXTYKTLX
THITE2025030915204210292,กาแฟสด มอคค่า ร้อน 12 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2025071208361503136,(สมูทตี้) มันม่วง แก้วใหญ่ 22 ออนซ์,59,3-C6J1BCNXTYKTLX
THITE2025041911581296670,มัทฉะครีมชีส (Matcha Cheese Tea),59,3-C6J1BCNXTYKTLX
THITE2024040707240308720,โอวัลติน (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2025041914201885296,ซอสบราวน์ชูการ์,19,3-C6J1BCNXTYKTLX
THITE2024040707212092808,นมสดเฮเซลนัท (เย็น/ปั่น),49,3-C6J1BCNXTYKTLX
THITE2025080402183651028,มัทฉะเลม่อนเย็น (Matcha Lemon),45,3-C6J1BCNXTYKTLX
THITE2025091712415541662,ชาอู่หลงน้ำผึ้งมะนาว,29,3-C6J1BCNXTYKTLX
THITE2025071208272094748,ชานมมันม่วง,49,3-C6J1BCNXTYKTLX
THITE2024040706445891803,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2024040717501751626,เขียวโซดา,22,3-C6J1BCNXTYKTLX
THITE2025031216260943721,กาแฟสด เผือกลาเต้ร้อน,37,3-C6J1BCNXTYKTLX
THITE2025031216373120216,กาแฟสด มอคค่ามิ้นต์ร้อน,45,3-C6J1BCNXTYKTLX
THITE2024041805543052610,กาแฟโบราณ บราวน์ชูการ์ (เย็น/ปั่น),49,3-C6J1BCNXTYKTLX
THITE2024040707320902022,ชาบลูเบอร์รี่,24,3-C6J1BCNXTYKTLX
THITE2025022802373259359,กาแฟสด คาปูชิโน่ เย็น 16 ออนซ์,45,3-C6J1BCNXTYKTLX
THITE2025030914433436301,กาแฟสด โอวัลตินช็อตกาแฟ เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2024040717405049396,แดงมะนาวโซดา,24,3-C6J1BCNXTYKTLX
THITE2024040707180976866,นมสดน้ำผึ้ง (เย็น/ปั่น),49,3-C6J1BCNXTYKTLX
THITE2025030203565749761,กาแฟสด ลาเต้ (Latte) ร้อน 12 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2026021907084210490,มันไทยอบ ดั้งเดิม,15,3-C6J1BCNXTYKTLX
THITE2025030701423684359,กาแฟสด โอเลี้ยง เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2025031216212849882,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,45,3-C6J1BCNXTYKTLX
THITE2024040707295087456,ชามะนาว,29,3-C6J1BCNXTYKTLX
THITE2025031313372896735,0% แคล ชาองุ่น,24,3-C6J1BCNXTYKTLX
THITE2025030916073825415,กาแฟสด บุกบราวน์ชูการ์ เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2025041907163643607,มัทฉะลาเต้ (Matcha Latte),49,3-C6J1BCNXTYKTLX
THITE2025072504393328576,ปังเนยกรอบอบไอน้ำ,20,3-C6J1BCNXTYKTLX
THITE2024040710383302455,ชานมคาราเมล (เย็น/ปั่น),37,3-C6J1BCNXTYKTLX
THITE2025031615221452892,0% แคล โซดาลิ้นจี่,22,3-C6J1BCNXTYKTLX
THITE2025031615093192911,0% แคล ชาฟรุตพันช์,24,3-C6J1BCNXTYKTLX
THITE2025030203155620292,กาแฟสด ลองแบล็ค เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
THITE2024040707225137437,โกโก้ (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2026030810483894399,เค้กกล้วยหอม โฮมเมด,15,3-C6J1BCNXTYKTLX
THITE2025031014552562150,กาแฟสดโซดา เอสเปรสโซ่เสาวรส เย็น 16 ออนซ์,32,3-C6J1BCNXTYKTLX
THITE2025031216164357806,นมร้อน 12 ออนซ์,24,3-C6J1BCNXTYKTLX
THITE2025071208195239463,ชาไทยมันม่วง,49,3-C6J1BCNXTYKTLX
THITE2024040707263973803,นมสดไข่มุกบราวน์ชูการ์ (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2024041801552319145,ชาพีชส้มยูสุ,70,3-C6J1BCNXTYKTLX
THITE2025031410234653483,0% แคล ชาน้ำผึ้ง,24,3-C6J1BCNXTYKTLX
THITE2024040707172854825,นมสดมิ้นต์ (เย็น/ปั่น),49,3-C6J1BCNXTYKTLX
THITE2024041801482224017,ชาพีช,49,3-C6J1BCNXTYKTLX
THITE2025062904281409246,(สมูทตี้) สตรอเบอร์รี่ แก้วใหญ่ 22 ออนซ์,49,3-C6J1BCNXTYKTLX
THITE2024040717473631579,บลูฮาวายโซดา,22,3-C6J1BCNXTYKTLX
THITE2025070506164520452,(สมูทตี้) มะม่วง แก้วใหญ่ 22 ออนซ์,69,3-C6J1BCNXTYKTLX
THITE2025082707425593276,ปังมันม่วง อบสด โฮมเมด,20,3-C6J1BCNXTYKTLX
THITE2024040707221309972,นมสดเย็น (เย็น/ปั่น),29,3-C6J1BCNXTYKTLX
THITE2024040717440019808,มะนาวโซดา,27,3-C6J1BCNXTYKTLX
THITE2025030203221737606,กาแฟสด แฟลตไวท์ เย็น 16 ออนซ์,45,3-C6J1BCNXTYKTLX
THITE2024040710343875816,ชานมชีส (เย็น/ปั่น),49,3-C6J1BCNXTYKTLX
THITE2025030517414777580,กาแฟสด เอสเปรสโซ่ไทยสไตล์ เย็น 16 ออนซ์,37,3-C6J1BCNXTYKTLX
