*ItemID,*ItemName,*Price,OptionGroup1,OptionGroup2,OptionGroup3,OptionGroup4,OptionGroup5,StoreID
"[โปรดอย่าลบหรือแก้ไขแถวที่ 1 และ 2]
รหัสรายการ 
รหัสเฉพาะของรายการบน Grab จำเป็นต้องกรอกคอลัมน์นี้เมื่อจะอัปเดตรายการ กรุณาอย่าแก้ไขรหัสรายการของคุณ","Iชื่อรายการ 
ชื่อของรายการ คอลัมน์นี้ต้องไม่เว้นว่างและต้องมีความยาวไม่เกิน 80 ตัวอักษร","ราคา 
ราคารายการในสกุลเงินท้องถิ่น คอลัมน์นี้ต้องไม่เว้นว่าง","(ไม่บังคับ) ตัวเลือกเสริมที่ 1 
ตัวเลือกเสริมและตัวเลือกที่ใช้กับรายการนี้ หากต้องการเชื่อมหลายตัวเลือกเสริมเข้ากับหนึ่งรายการ ให้เพิ่มคอลัมน์ใหม่ OptionGroup ใหม่ (ตัวอย่าง: OptionGroup2, OptionGroup3)

โปรดระบุค่าและใช้รูปแบบต่อไปนี้เพื่อสร้างค่าที่ถูกต้อง:
- ตัวเลือกเสริม
- จำนวนตัวเลือกขั้นต่ำ
- จำนวนตัวเลือกสูงสุด
- ชื่อตัวเลือกแรก
- ราคาของตัวเลือกแรก
- ชื่อของตัวเลือกที่สอง
- ราคาของตัวเลือกที่สอง

รูปแบบ: ชื่อ##จำนวนตัวเลือกขั้นต่ำ-จำนวนตัวเลือกสูงสุด##ชื่อตัวเลือก1:ราคา#ชื่อตัวเลือก2:ราคา
ตัวอย่าง: ขนาด##1-1##ใหญ่:5#ปกติ:3#เล็ก:2",,,,,IMPORTANT: Do not make changes to any store IDs.
THITE2024040717444560970,ลิ้นจี่โซดา,22,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2025030916073825415,กาแฟสด บุกบราวน์ชูการ์ เย็น 16 ออนซ์,37,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,,3-C6J1BCNXTYKTLX
THITE2026020307474365114,ชาจัสมินฝูเจี้ยน (เย็น/ปั่น) 16 oz,37,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025052911074637852,น้ำเต้าหู้สูตรดั้งเดิม (เย็น/ปั่น),29,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025041914141523907,บุกบราวน์ชูการ์,13,,,,,,3-C6J1BCNXTYKTLX
THITE2024041801540777155,ชาส้มยูสุ,49,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2024040706410295183,โกปี๊ โบราณ (เย็น/ปั่น),29,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2024040717452913889,บลูเบอร์รี่โซดา,22,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2025030701390513267,ช็อกโกแลตมิลค์ เย็น 16 ออนซ์,37,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,3-C6J1BCNXTYKTLX
THITE2025031715420228735,0% แคล โซดาพีช,22,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,,,3-C6J1BCNXTYKTLX
THITE2024040707184769083,นมสดคาราเมล (เย็น/ปั่น),49,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025091016480045690,Ice Cream To-Go แก้วใหญ่ 16oz (แถมถุงเย็น),29,รสชาติ ไอศครีม##1-1##นม:0#>รสอื่นๆ<  (แรนด้อม):0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,,,,3-C6J1BCNXTYKTLX
THITE2025041912314756634,เพียวมัทฉะ (Pure Matcha),37,ช็อตมัทฉะ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตมัทฉะ 1 กรัม:8#เพิ่มช็อตมัทฉะ 2 กรัม:15,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2024040707320902022,ชาบลูเบอร์รี่,24,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2025031313362137067,0% แคล ชาสละ,24,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,,,3-C6J1BCNXTYKTLX
THITE2026022110521721472,โกโก้ลาวาช็อกขูด (เย็น/ปั่น),54,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025031410234653483,0% แคล ชาน้ำผึ้ง,24,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,,,3-C6J1BCNXTYKTLX
THITE2024041801473341445,ชาผลไม้รวม,49,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2024040707292383933,ชาดำเย็น,24,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2025030204271845735,กาแฟสด Flat White (แฟลตไวท์) ร้อน 12 ออนซ์,37,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,,,,,3-C6J1BCNXTYKTLX
THITE2025030914322512524,กาแฟสด โอเลี้ยงเฮเซลนัท เย็น 16 ออนซ์,37,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,,3-C6J1BCNXTYKTLX
THITE2024040710340384853,ชานมใต้หวัน (เย็น/ปั่น),24,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025030916034890533,กาแฟสด น้ำผึ้งมะนาว เย็น 16 ออนซ์,37,ช็อตมะนาว##1-1##ไม่เพิ่ม:0#เพิ่ม 1 ช็อต:5,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,3-C6J1BCNXTYKTLX
THITE2024040706364776567,เนสกาแฟ (เย็น/ปั่น),29,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025052103271268930,เฉาก๊วยหนึบเนื้อแน่น,9,,,,,,3-C6J1BCNXTYKTLX
THITE2025031216192272991,กาแฟสด คาราเมลลาเต้ร้อน 12 ออนซ์,45,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,,,,3-C6J1BCNXTYKTLX
