category,name,old_store,new_store,store_delta,old_del,new_del,note
เบเกอรี่ & ไอศครีม,ชิโอปัง (Shio Pan) โฮมเมด ใหญ่ขึ้น,,,,,,not in live
เบเกอรี่ & ไอศครีม,ปังมันม่วง อบสด โฮมเมด,19,25,6,,37,
"Signature Drinks (เย็น, ปั่น)",โกโก้ลาวาช็อกขูด (เย็น/ปั่น),44,49,5,,73,
"Signature Drinks (เย็น, ปั่น)",โกโก้สตรอว์เบอร์รี (เย็น/ปั่น),34,39,5,,58,
ผลไม้ปั่น & สมูทตี้,(สมูทตี้) มิกซ์เบอร์รี่ แก้วใหญ่ 22 ออนซ์,54,59,5,,87,
ผลไม้ปั่น & สมูทตี้,มิกซ์เบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,44,49,5,,73,
ผลไม้ปั่น & สมูทตี้,(สมูทตี้) สตรอเบอร์รี่ แก้วใหญ่ 22 ออนซ์,39,45,6,,67,
ผลไม้ปั่น & สมูทตี้,สตรอเบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,29,35,6,,52,
อิตาเลียน โซดา,สตรอว์เบอร์รีโซดา,19,25,6,,37,
เบเกอรี่ & ไอศครีม,บราวนี่โฮมเมด,13,15,2,,23,
ชา,ชาสตรอว์เบอร์รี,19,25,6,,37,
เบเกอรี่ & ไอศครีม,Ice Cream To-Go แก้วใหญ่ 16oz (แถมถุงเย็น),25,29,4,,43,
เบเกอรี่ & ไอศครีม,เค้กกล้วยหอม โฮมเมด,13,15,2,,23,
เบเกอรี่ & ไอศครีม,วาฟเฟิลเบลเยียม โฮมเมด,13,15,2,,23,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด เผือกลาเต้ร้อน,29,35,6,,52,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด มอคค่ามิ้นต์ร้อน,35,39,4,,58,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด โกโก้มอคค่าร้อน,29,35,6,,52,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,35,39,4,,58,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด เฮเซลนัทมอคค่าร้อน 12 ออนซ์,35,39,4,,58,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด คาราเมลลาเต้ร้อน 12 ออนซ์,35,39,4,,58,
* กาแฟสด อื่นๆ ร้อน,ช็อกโกแลตมิลค์ร้อน 12 ออนซ์,25,29,4,,43,
* กาแฟสด อื่นๆ ร้อน,นมร้อน 12 ออนซ์,19,25,6,,37,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด มอคค่า ร้อน 12 ออนซ์,29,35,6,,52,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด Caramel Macchiato (คาราเมลมัคคิอาโต้) ร้อน 12 ออนซ์,35,39,4,,58,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด Flat White (แฟลตไวท์) ร้อน 12 ออนซ์,29,35,6,,52,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด Long Black (ลองแบล็ค) ร้อน 12 ออนซ์,25,29,4,,43,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด Cappuccino (คาปูชิโน่) ร้อน 12 ออนซ์,29,35,6,,52,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด ลาเต้ (Latte) ร้อน 12 ออนซ์,29,35,6,,52,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด Espresso (เอสเปรสโซ่) ร้อน 12 ออนซ์,29,35,6,,52,
* กาแฟสด อื่นๆ ร้อน,กาแฟสด อเมริกาโน่ (Americano) ร้อน 12 ออนซ์,25,29,4,,43,
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่มะม่วง เย็น 16 ออนซ์,25,29,4,,43,
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่บ๊วย เย็น 16 ออนซ์,25,29,4,,43,
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่ลิ้นจี่ เย็น 16 ออนซ์,25,29,4,,43,
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่เสาวรส เย็น 16 ออนซ์,25,29,4,,43,
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่บลูฮาวาย เย็น 16 ออนซ์,25,29,4,,43,
* กาแฟสดฟิวชันสดชื่น,กาแฟสด บุกบราวน์ชูการ์ เย็น 16 ออนซ์,29,35,6,,52,
* กาแฟสดฟิวชันสดชื่น,กาแฟสด น้ำผึ้งมะนาว เย็น 16 ออนซ์,29,35,6,,52,
* กาแฟสดฟิวชันสดชื่น,กาแฟสด บลูฮาวายเอสเปรสโซ่ เย็น 16 ออนซ์,25,29,4,,43,
* กาแฟสดฟิวชันสดชื่น,กาแฟสด บ๊วยเอสเปรสโซ่ เย็น 16 ออนซ์,25,29,4,,43,
* กาแฟสดฟิวชันสดชื่น,กาแฟสด เสาวรสเอสเปรสโซ่ เย็น 16 ออนซ์,25,29,4,,43,
* กาแฟสดนมนุ่มละมุน,กาแฟสด เอสเปรสโซ่ไทยสไตล์ เย็น 16 ออนซ์,29,35,6,,52,
* กาแฟสดนมนุ่มละมุน,กาแฟสด ไมโลกาแฟ เย็น 16 ออนซ์,29,35,6,,52,
