shopeeName,shopeePrice,shopeeCode,shopeeCategory,mainName,store_old_price,sign_price,stock_delivery_target,stock_grab_check,stock_lm_check,stock_shopee_check,firestore_store,firestore_delivery,matchType
ปังมันม่วง อบสด โฮมเมด,35,2718363917855232,เบเกอรี่ & ไอศครีม,ปังมันม่วง อบสด โฮมเมด,19,25,37,37,37,37.00,25,37,shopee_name_exact
ชิโอปัง (Shio Pan) โฮมเมด ใหญ่ขึ้น,30,2702834868003840,เบเกอรี่ & ไอศครีม,ชิโอปัง (Shio Pan) โฮมเมด ใหญ่ขึ้น,19,25,37,37,37,37.00,,,shopee_name_exact
มันไทยอบ ดั้งเดิม,25,2967472896374784,เบเกอรี่ & ไอศครีม,มันไทยอบ ดั้งเดิม,13,15,23,23,,23.00,,,shopee_name_exact
วาฟเฟิลเบลเยียม โฮมเมด,25,3137372581526016,เบเกอรี่ & ไอศครีม,วาฟเฟิลเบลเยียม โฮมเมด,13,15,23,23,23,23.00,15,23,shopee_name_exact
ซอฟต์คุกกี้ โฮมเมด (เลือกได้),25,2950619592160768,เบเกอรี่ & ไอศครีม,ซอฟต์คุกกี้ โฮมเมด (เลือกได้),15,17,26,26,26,26.00,17,26,shopee_name_exact
เค้กกล้วยหอม โฮมเมด,25,2991758051948544,เบเกอรี่ & ไอศครีม,เค้กกล้วยหอม โฮมเมด,13,15,23,23,23,23.00,15,23,shopee_name_exact
บราวนี่โฮมเมด,25,2763730334689792,เบเกอรี่ & ไอศครีม,บราวนี่โฮมเมด,13,15,23,23,23,23.00,15,23,shopee_name_exact
ปังเนยกรอบอบไอน้ำ,25,2676059704648192,เบเกอรี่ & ไอศครีม,ปังเนยกรอบอบไอน้ำ,19,25,37,37,37,37.00,25,37,shopee_name_exact
Ice Cream To-Go แก้วใหญ่ 16oz (แถมถุงเย็น),35,2738717429164544,เบเกอรี่ & ไอศครีม,Ice Cream To-Go แก้วใหญ่ 16oz (แถมถุงเย็น),25,29,43,43,43,43.00,29,43,shopee_name_exact
ชานมไข่มุก (เย็น/ปั่น),40,2035915327775232,"Signature Drinks (เย็น, ปั่น)",ชานมไข่มุก (เย็น/ปั่น),24,29,43,43,43,43.00,29,43,shopee_name_exact
ชานมไข่มุกบราวน์ชูการ์ (เย็น/ปั่น),65,2035926352093184,"Signature Drinks (เย็น, ปั่น)",ชานมไข่มุกบราวน์ชูการ์ (เย็น/ปั่น),39,45,67,67,67,67.00,45,67,shopee_name_exact
โกโก้สตรอว์เบอร์รี (เย็น/ปั่น),55,2035929394717184,"Signature Drinks (เย็น, ปั่น)",โกโก้สตรอว์เบอร์รี (เย็น/ปั่น),34,39,58,58,58,58.00,39,58,shopee_name_exact
ชาไทยชีส (เย็น/ปั่น),75,2035955801760256,"Signature Drinks (เย็น, ปั่น)",ชาไทยชีส (เย็น/ปั่น),44,49,73,73,73,73.00,49,73,shopee_name_exact
โกโก้มิ้นต์ (เย็น/ปั่น),55,2035956504945152,"Signature Drinks (เย็น, ปั่น)",โกโก้มิ้นต์ (เย็น/ปั่น),34,39,58,58,58,58.00,39,58,shopee_name_exact
กาแฟโบราณ บราวน์ชูการ์ (เย็น/ปั่น),65,2035957223202816,"Signature Drinks (เย็น, ปั่น)",กาแฟโบราณ บราวน์ชูการ์ (เย็น/ปั่น),39,45,67,67,67,67.00,45,67,shopee_name_exact
ชาเขียวนม (เย็น/ปั่น),40,2035963095818240,"Signature Drinks (เย็น, ปั่น)",ชาเขียวนม (เย็น/ปั่น),24,29,43,43,43,43.00,29,43,shopee_name_exact
โกโก้ (เย็น/ปั่น),40,2035950934172160,"Signature Drinks (เย็น, ปั่น)",โกโก้ (เย็น/ปั่น),24,29,43,43,43,43.00,29,43,shopee_name_exact
โกโก้ลาวาช็อกขูด (เย็น/ปั่น),75,2970522469726208,"Signature Drinks (เย็น, ปั่น)",โกโก้ลาวาช็อกขูด (เย็น/ปั่น),44,49,73,73,73,73.00,49,73,shopee_name_exact
ชานมชีส (เย็น/ปั่น),65,2035962409689088,"Signature Drinks (เย็น, ปั่น)",ชานมชีส (เย็น/ปั่น),39,45,67,67,67,67.00,45,67,shopee_name_exact
ชาจัสมินฝูเจี้ยน (เย็น/ปั่น) 16 oz,50,2944861680138240,"ชานมสดคราฟต์ (เย็น, ปั่น)",ชาจัสมินฝูเจี้ยน (เย็น/ปั่น) 16 oz,29,35,52,52,52,52.00,,,shopee_name_exact
ชาอู่หลงเย็น,30,2748382045219328,ชา,ชาอู่หลงเย็น,19,25,37,37,37,37.00,25,37,shopee_name_exact
ชาอู่หลงน้ำผึ้ง,40,2748383136392704,ชา,ชาอู่หลงน้ำผึ้ง,24,29,43,43,43,43.00,29,43,shopee_name_exact
ชาอู่หลงน้ำผึ้งมะนาว,40,2748385436329472,ชา,ชาอู่หลงน้ำผึ้งมะนาว,24,29,43,43,43,43.00,29,43,shopee_name_exact
ชาดำเย็น,30,2035973480783872,ชา,ชาดำเย็น,19,25,37,37,37,37.00,25,37,shopee_name_exact
ชาเขียวมะลิ,30,2035974334947328,ชา,ชาเขียวมะลิ,19,25,37,37,37,37.00,25,37,shopee_name_exact
ชาสตรอว์เบอร์รี,30,2035976159748608,ชา,ชาสตรอว์เบอร์รี,19,25,37,37,37,37.00,25,37,shopee_name_exact
ชาลิ้นจี่,30,2036011307360256,ชา,ชาลิ้นจี่,19,25,37,37,37,37.00,25,37,shopee_name_exact
ชามะนาว,40,2036011953496576,ชา,ชามะนาว,24,29,43,43,43,43.00,29,43,shopee_name_exact
ชาแอปเปิ้ล,30,2036013205692416,ชา,ชาแอปเปิ้ล,19,25,37,37,37,37.00,25,37,shopee_name_exact
ชาเสาวรส,30,2036013836541952,ชา,ชาเสาวรส,19,25,37,37,37,37.00,25,37,shopee_name_exact
ชาบลูเบอร์รี่,30,2036014408409600,ชา,ชาบลูเบอร์รี่,19,25,37,37,37,37.00,25,37,shopee_name_exact
มัทฉะลาเต้ (Matcha Latte),65,2534314857043968,มัทฉะแท้,มัทฉะลาเต้ (Matcha Latte),39,45,67,67,67,67.00,45,67,shopee_name_exact
มัทฉะครีมชีส (Matcha Cheese Tea),80,2534590891660800,มัทฉะแท้,มัทฉะครีมชีส (Matcha Cheese Tea),49,55,82,82,82,82.00,55,82,shopee_name_exact
เพียวมัทฉะ (Pure Matcha),50,2534623812442112,มัทฉะแท้,เพียวมัทฉะ (Pure Matcha),29,35,52,52,52,52.00,35,52,shopee_name_exact
มัทฉะบราวน์ชูการ์ไข่มุก (Matcha Brown Sugar Boba),75,2534835210999808,มัทฉะแท้,มัทฉะบราวน์ชูการ์ไข่มุก (Matcha Brown Sugar Boba),45,49,73,73,73,73.00,49,73,shopee_name_exact
มัทฉะมะพร้าว,75,2568233223560192,มัทฉะแท้,มัทฉะมะพร้าว,45,49,73,73,73,73.00,49,73,shopee_name_exact
มัทฉะมะพร้าวนม,75,2568243239148032,มัทฉะแท้,มัทฉะมะพร้าวนม,45,49,73,73,73,73.00,49,73,shopee_name_exact
มัทฉะเลม่อนเย็น (Matcha Lemon),60,2685485808034304,มัทฉะแท้,มัทฉะเลม่อนเย็น (Matcha Lemon),35,39,58,58,58,58.00,39,58,shopee_name_exact
ชานมใต้หวัน (เย็น/ปั่น),30,2035963759337472,"ชานม (เย็น, ปั่น)",ชานมใต้หวัน (เย็น/ปั่น),19,25,37,37,37,37.00,25,37,shopee_name_exact
ชาไทย (เย็น/ปั่น),40,2035964543181312,"ชานม (เย็น, ปั่น)",ชาไทย (เย็น/ปั่น),24,29,43,43,43,,29,43,shopee_name_exact
ชานมเฮเซลนัท (เย็น/ปั่น),50,2035965318586880,"ชานม (เย็น, ปั่น)",ชานมเฮเซลนัท (เย็น/ปั่น),29,35,52,52,52,52.00,35,52,shopee_name_exact
ชานมกาแฟ (เย็น/ปั่น),40,2035966040252416,"ชานม (เย็น, ปั่น)",ชานมกาแฟ (เย็น/ปั่น),24,29,43,43,43,43.00,29,43,shopee_name_exact
ชานมคาราเมล (เย็น/ปั่น),50,2035966767997440,"ชานม (เย็น, ปั่น)",ชานมคาราเมล (เย็น/ปั่น),29,35,52,52,52,52.00,35,52,shopee_name_exact
ชานมมิ้นต์ (เย็น/ปั่น),50,2035970393153536,"ชานม (เย็น, ปั่น)",ชานมมิ้นต์ (เย็น/ปั่น),29,35,52,52,52,52.00,35,52,shopee_name_exact
ชานมเผือก (เย็น/ปั่น),50,2035971219087360,"ชานม (เย็น, ปั่น)",ชานมเผือก (เย็น/ปั่น),29,35,52,52,52,52.00,35,52,shopee_name_exact
ชาไทยมันม่วง,65,2653285325527552,"ชานม (เย็น, ปั่น)",ชาไทยมันม่วง,39,45,67,67,67,67.00,45,67,shopee_name_exact
ชานมมันม่วง,65,2653291415755776,"ชานม (เย็น, ปั่น)",ชานมมันม่วง,39,45,67,67,67,67.00,45,67,shopee_name_exact
ชาส้มยูสุ,65,2036029215105024,ชาผลไม้,ชาส้มยูสุ,39,45,67,67,67,67.00,45,67,shopee_name_exact
ชาพีช,65,2036029991477760,ชาผลไม้,ชาพีช,39,45,67,67,67,67.00,45,67,shopee_name_exact
ชาผลไม้รวม,65,2036030560920064,ชาผลไม้,ชาผลไม้รวม,39,45,67,67,67,67.00,45,67,shopee_name_exact
ชามิกซ์เบอร์รี่,65,2036031220129792,ชาผลไม้,ชามิกซ์เบอร์รี่,39,45,67,67,67,67.00,45,67,shopee_name_exact
ชาพีชส้มยูสุ,75,2036031881322496,ชาผลไม้,ชาพีชส้มยูสุ,49,55,82,82,82,82.00,55,82,shopee_name_exact
สตรอเบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,50,2634634361788928,ผลไม้ปั่น & สมูทตี้,สตรอเบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,29,35,52,52,52,52.00,35,52,shopee_name_exact
(สมูทตี้) สตรอเบอร์รี่ แก้วใหญ่ 22 ออนซ์,65,2634654449867776,ผลไม้ปั่น & สมูทตี้,(สมูทตี้) สตรอเบอร์รี่ แก้วใหญ่ 22 ออนซ์,39,45,67,67,67,67.00,45,67,shopee_name_exact
มิกซ์เบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,75,2639167031270400,ผลไม้ปั่น & สมูทตี้,มิกซ์เบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,44,49,73,73,73,73.00,49,73,shopee_name_exact
