รหัสร้านค้า/สาขา,ชื่อร้านค้า,รหัสหมวดหมู่,ชื่อหมวดหมู่,รหัสเมนูอาหาร,ชื่อเมนูอาหาร,ราคา (฿),สถานะการแสดงเมนูที่หน้าร้านค้า,สถานะสต็อกสินค้า,สต็อก,สต็อกคงเหลือ,เติมจำนวนสต็อกอัตโนมัติทุกวัน,เติมสต็อกเป็นจำนวน,รายละเอียดเมนู,เวลาเปิดขายเมนู,วันที่ขาย,ช่วงเวลาที่ขาย,กลุ่มตัวเลือกเสริม,รูปภาพ,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671467261617152""",เบเกอรี่ & ไอศครีม,"=""2718363917855232""",ปังมันม่วง อบสด โฮมเมด,30,แสดงเมนู,งดจำหน่าย,ไม่จำกัด,,,,ปังมันม่วงอบสดโฮมเมด แป้งนุ่มหนึบผสมแป้งข้าวเหนียว หอมมันเนยแท้ สอดไส้มันม่วงเนื้อแน่น หวานละมุนจากธรรมชาติ อบสดใหม่ทุกวัน อร่อยกำลังดี ทานเล่นก็เพลิน คู่กับเครื่องดื่มก็ลงตัว,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,"=""2719923818179072""",https://mms.img.susercontent.com/th-11134505-81ztm-mdwwpguskykj89,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671467261617152""",เบเกอรี่ & ไอศครีม,"=""2702834868003840""",ชิโอปัง (Shio Pan) โฮมเมด ใหญ่ขึ้น,26,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ชิโอปังโฮมเมด ทำเองสดใหม่ทุกวัน เนื้อนุ่มหอมเนย เค็มกำลังดี อร่อยคู่กับเครื่องดื่มหรือทานเล่นก็,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2719489012835840#2748230794438144,https://mms.img.susercontent.com/th-11134505-7ra0s-mdu17xxfq7e6e9,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671467261617152""",เบเกอรี่ & ไอศครีม,"=""2967472896374784""",มันไทยอบ ดั้งเดิม,21,แสดงเมนู,งดจำหน่าย,ไม่จำกัด,,,,มันไทยอบ ดั้งเดิม ธรรมชาติ เนื้อนุ่มหนึบ อิ่มท้องนาน,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,"=""2968910413985792""",https://mms.img.susercontent.com/th-11134505-81ztq-mkxhsn8kjif576,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671467261617152""",เบเกอรี่ & ไอศครีม,"=""3137372581526016""",วาฟเฟิลเบลเยียม โฮมเมด,21,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,หอมเนยนมแท้ อุ่นร้อนก่อนส่ง กรอบนอกนุ่มใน ขนาด 60 กรัม,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,"=""3137374016371200""",https://mms.img.susercontent.com/th-11134505-81zti-mpndswh6oe8e71,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671467261617152""",เบเกอรี่ & ไอศครีม,"=""2950619592160768""",ซอฟต์คุกกี้ โฮมเมด (เลือกได้),21,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ซอฟต์คุกกี้เนื้อนุ่มหนึบ เลือกอร่อยได้ทั้งรสออริจินัล มัจฉะ และดาร์กโกโก้เข้มข้น,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,"=""2950624656128000""",https://mms.img.susercontent.com/th-11134505-81ztg-mkf31h93s54yf1,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671467261617152""",เบเกอรี่ & ไอศครีม,"=""2991758051948544""",เค้กกล้วยหอม โฮมเมด,21,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,เค้กกล้วยหอมโฮมเมด รสชาติเรียบง่าย หอมหวานจากกล้วยงอมแท้ อบสดใหม่ ขนาดพอดีมือ เหมาะทานเล่นหรือจับคู่เครื่องดื่ม,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,"=""2991760258266624""",https://mms.img.susercontent.com/th-11134505-81zto-mlsoehfd7zf35d,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671467261617152""",เบเกอรี่ & ไอศครีม,"=""2763730334689792""",บราวนี่โฮมเมด,21,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,บราวนี่โฮมเมดอบสดใหม่ ใช้ผงโกโก้หอมเข้ม เนื้อหนึบชุ่มกำลังดี หวานพอดี ทานคู่กับเครื่องดื่มได้ลงตัว,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,"=""2791851551663616""",https://mms.img.susercontent.com/th-11134505-81zti-mf6ne9v88hsddf,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671467261617152""",เบเกอรี่ & ไอศครีม,"=""2676059704648192""",ปังเนยกรอบอบไอน้ำ,26,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ขนมปังทาเนยอบไอน้ำด้วยเตา BALMUDA
หอมกรุ่น ชุ่มเนย กรอบเบา ๆ ที่ขอบ
อบใหม่ทุกครั้ง กินคู่ชาหรือกาแฟก็ลงตัว",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2675562478297600#2671476543562752,https://mms.img.susercontent.com/th-11134505-7ra0o-mclnfu8refpcae,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671467261617152""",เบเกอรี่ & ไอศครีม,"=""2738717429164544""",Ice Cream To-Go แก้วใหญ่ 16oz (แถมถุงเย็น),32,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ไอศกรีมซอฟเสิร์ฟ 200 กรัม เนื้อนุ่มละมุน ละลายในปาก เลือกท็อปปิ้งได้ตามใจ ทั้งไข่มุก วุ้นกบ หรือบุกหนึบ สั่งเดลิเวอรี่วันนี้ แถมถุงเก็บความเย็นฟรี สดใหม่จนถึงมือคุณ,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2738720217310720,https://mms.img.susercontent.com/th-11134505-81ztd-mehfigljv30gfe,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2035912587911168""","Signature Drinks (เย็น, ปั่น)","=""2035915327775232""",ชานมไข่มุก (เย็น/ปั่น),34,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชานมคลาสสิกปรุงสดกับไข่มุกนุ่มๆ, จัดส่งสดใหม่!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81zti-mlhn4l2m27eta9,
