รหัสร้านค้า/สาขา,ชื่อร้านค้า,รหัสกลุ่มตัวเลือกเสริม,ชื่อกลุ่มตัวเลือกเสริม,สถานะการแสดงเมนูที่หน้าร้านค้า,หมายเหตุ,รหัสตัวเลือกเสริม,ชื่อตัวเลือกเสริม,ราคาเพิ่มเติมของตัวเลือก (฿),สถานะของตัวเลือกเสริม,ข้อจำกัดตัวเลือกเสริม,X,Y,เมนูที่ผูกไว้,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001824253843968""",ท็อปปิ้ง,แสดงเมนู,,"=""2620384426875904""",ไม่เพิ่ม,0,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2738717429164544#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001824253843968""",ท็อปปิ้ง,แสดงเมนู,,"=""2001892000487425""",เจลลี่ผลไม้,8,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2738717429164544#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001824253843968""",ท็อปปิ้ง,แสดงเมนู,,"=""2001892000487424""",ไข่มุก,8,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2738717429164544#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001824253843968""",ท็อปปิ้ง,แสดงเมนู,,"=""2610656357767680""",วุ้นกบไต้หวัน,9,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2738717429164544#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001824253843968""",ท็อปปิ้ง,แสดงเมนู,,"=""2579390927821824""",เฉาก๊วยหนึบเนื้อแน่น,13,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2738717429164544#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001824253843968""",ท็อปปิ้ง,แสดงเมนู,,"=""2001892000487426""",บุกน้ำตาล,15,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2738717429164544#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001824253843968""",ท็อปปิ้ง,แสดงเมนู,,"=""2001892000487427""",บุกน้ำผึ้ง,15,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2738717429164544#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001824253843968""",ท็อปปิ้ง,แสดงเมนู,,"=""2001892000487428""",บุกบราวน์,18,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2738717429164544#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001824253843968""",ท็อปปิ้ง,แสดงเมนู,,"=""2610679784070144""",วุ้นว่านหางจระเข้ หั่นลูกเต๋า,23,งดจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2738717429164544#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001824253843968""",ท็อปปิ้ง,แสดงเมนู,,"=""2001892000487429""",ซอสบราวน์,23,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2738717429164544#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
