category,name,code,price,deliveryPrice,deliveryDiff,active,visibleOnPos,updatedAt,id
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาแคนตาลูป,,25,37,true,true,true,2026-07-22T16:20:59.570Z,fs_item_41638745
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาน้ำผึ้ง,,25,37,true,true,true,2026-07-22T16:22:06.155Z,fs_item_41608489
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาน้ำผึ้งมะนาว,,25,37,true,true,true,2026-07-22T16:22:06.155Z,fs_item_41608527
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาพีช,,25,37,true,true,true,2026-07-22T16:20:59.570Z,fs_item_41608475
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาฟรุตพันช์,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41638755
0% แคล ชาเพื่อสุขภาพ,0% แคล ชามะลิ,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41638761
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาลิ้นจี่,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41589715
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาสละ,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41589746
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาองุ่น,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41589757
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาแคนตาลูป,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41655205
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาน้ำผึ้ง,,25,37,true,true,true,2026-07-22T16:22:06.155Z,fs_item_41638870
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาน้ำผึ้งมะนาว,,25,37,true,true,true,2026-07-22T16:22:06.155Z,fs_item_41638888
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาพีช,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41655229
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาฟรุตพันช์,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41655299
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาลิ้นจี่,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41638847
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาองุ่น,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41638902
0% แคล โซดาซ่าเพื่อสุขภาพ,0% โคล่าโซดา,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41836328
0% แคล โซดาซ่าเพื่อสุขภาพ,0% โคล่าโซดามะนาว,,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41836317
"กาแฟ (เย็น, ปั่น)",โกปี๊ โบราณ (เย็น/ปั่น),,29,43,true,true,true,2026-07-22T16:20:59.571Z,fs_item_33559284
"กาแฟ (เย็น, ปั่น)",โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),,29,43,true,true,true,2026-07-22T16:20:59.571Z,fs_item_33559267
"กาแฟ (เย็น, ปั่น)",โกปี๊อ้อ (โอเลี้ยง) (เย็น/ปั่น),,25,37,true,true,true,2026-07-22T16:20:59.571Z,fs_item_33559287
"กาแฟ (เย็น, ปั่น)",เนสกาแฟ (เย็น/ปั่น),,29,43,true,true,true,2026-07-22T16:20:59.572Z,fs_item_33559283
"กาแฟ (เย็น, ปั่น)",มอคค่า (เย็น/ปั่น),,35,52,true,true,true,2026-07-22T16:20:59.572Z,fs_item_33559282
"กาแฟ (เย็น, ปั่น)",ลาเต้ (เย็น/ปั่น),,35,52,true,true,true,2026-07-22T16:20:59.572Z,fs_item_33559281
* กาแฟสดเข้มข้น,กาแฟสด กาแฟโบราณ เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T17:01:53.947Z,fs_item_41411740
* กาแฟสดเข้มข้น,กาแฟสด ลองแบล็ค เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T17:01:53.947Z,fs_item_41321144
* กาแฟสดเข้มข้น,กาแฟสด อเมริกาโน่ เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T17:01:53.947Z,fs_item_41276630
* กาแฟสดเข้มข้น,กาแฟสด เอสเปรสโซ่ เย็น 16 ออนซ์,,39,58,true,true,true,2026-07-22T17:01:53.947Z,fs_item_41277766
* กาแฟสดเข้มข้น,กาแฟสด โอเลี้ยง เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T17:01:53.947Z,fs_item_41411727
* กาแฟสดเข้มข้น,กาแฟสด โอเลี้ยงเฮเซลนัท เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T17:01:53.947Z,fs_item_41456560
* กาแฟสดนมนุ่มละมุน,กาแฟสด คาปูชิโน่ เย็น 16 ออนซ์,,39,58,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41279794
* กาแฟสดนมนุ่มละมุน,กาแฟสด คาราเมลมัคคิอาโต้ เย็น 16 ออนซ์,,45,67,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41391590
* กาแฟสดนมนุ่มละมุน,กาแฟสด ช็อกโกแลตเอสเปรสโซ่ เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41456583
* กาแฟสดนมนุ่มละมุน,กาแฟสด แฟลตไวท์ เย็น 16 ออนซ์,,39,58,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41321223
* กาแฟสดนมนุ่มละมุน,กาแฟสด มอคค่า เย็น 16 ออนซ์,,39,58,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41391572
* กาแฟสดนมนุ่มละมุน,กาแฟสด ไมโลกาแฟ เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41456676
* กาแฟสดนมนุ่มละมุน,กาแฟสด ลาเต้ เย็น 16 ออนซ์,,39,58,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41277718
* กาแฟสดนมนุ่มละมุน,กาแฟสด เอสเปรสโซ่ไทยสไตล์ เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41391600
* กาแฟสดนมนุ่มละมุน,กาแฟสด โอวัลตินช็อตกาแฟ เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41457162
* กาแฟสดนมนุ่มละมุน,ช็อกโกแลตมิลค์ เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41411718
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่บลูฮาวาย เย็น 16 ออนซ์,,29,43,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41486377
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่บ๊วย เย็น 16 ออนซ์,,29,43,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41486436
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่มะม่วง เย็น 16 ออนซ์,,29,43,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41486445
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่ลิ้นจี่ เย็น 16 ออนซ์,,29,43,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41486430
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่เสาวรส เย็น 16 ออนซ์,,29,43,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41486422
* กาแฟสดฟิวชันสดชื่น,กาแฟสด น้ำผึ้งมะนาว เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T16:22:06.155Z,fs_item_41466326
* กาแฟสดฟิวชันสดชื่น,กาแฟสด บลูฮาวายเอสเปรสโซ่ เย็น 16 ออนซ์,,29,43,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41444782
* กาแฟสดฟิวชันสดชื่น,กาแฟสด บ๊วยเอสเปรสโซ่ เย็น 16 ออนซ์,,29,43,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41444824
* กาแฟสดฟิวชันสดชื่น,กาแฟสด บุกบราวน์ชูการ์ เย็น 16 ออนซ์,,35,52,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41467100
* กาแฟสดฟิวชันสดชื่น,กาแฟสด เสาวรสเอสเปรสโซ่ เย็น 16 ออนซ์,,29,43,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41444851
* กาแฟสด อื่นๆ ร้อน,กาแฟสด โกโก้มอคค่าร้อน,,35,52,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41574391
* กาแฟสด อื่นๆ ร้อน,กาแฟสด คาราเมลลาเต้ร้อน 12 ออนซ์,,39,58,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41574254
* กาแฟสด อื่นๆ ร้อน,กาแฟสด เผือกลาเต้ร้อน,,35,52,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41574401
* กาแฟสด อื่นๆ ร้อน,กาแฟสด มอคค่ามิ้นต์ร้อน,,39,58,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41574397
* กาแฟสด อื่นๆ ร้อน,กาแฟสด มอคค่า ร้อน 12 ออนซ์,,35,52,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41460373
* กาแฟสด อื่นๆ ร้อน,กาแฟสด ลาเต้ (Latte) ร้อน 12 ออนซ์,,35,52,true,true,true,2026-07-22T16:20:59.571Z,fs_item_41321986
