group,option,priceDelta,deliveryPriceDelta,deliveryDiff,active
ขนาด ปริมาณ แก้วกาแฟ,แก้วมาตรฐาน,0,0,true,true
ขนาด ปริมาณ แก้วกาแฟ,แก้วใหญ่ 22oz เข้ม +1 ช๊อต ซีลแน่น,12,18,true,true
ความหวาน,ไม่หวาน 0%,0,0,true,true
ความหวาน,หวานน้อย 50%,0,0,true,true
ความหวาน,หวานน้อยมาก 25%,0,0,true,true
ความหวาน,หวานปกติ 100%,0,0,true,true
ความหวาน,หวานมาก 125%,0,0,true,true
ความหวาน,หวานมาก 150%,0,0,true,true
ความหวาน,หวานมาก 200%,0,0,true,true
ช็อตกาแฟ,เพิ่มช็อตกาแฟ 1 ช็อต,12,18,true,true
ช็อตกาแฟ,เพิ่มช็อตกาแฟ 2 ช็อต,17,26,true,true
ช็อตกาแฟ,ไม่เพิ่ม,0,0,true,true
ช็อตมะนาว,เพิ่ม 1 ช็อต,7,11,true,true
ช็อตมะนาว,ไม่เพิ่ม,0,0,true,true
ช็อตมัทฉะ,เพิ่มช็อตมัทฉะ 1 กรัม,7,11,true,true
ช็อตมัทฉะ,เพิ่มช็อตมัทฉะ 2 กรัม,13,20,true,true
ช็อตมัทฉะ,ไม่เพิ่ม,0,0,true,true
ชิโอปัง เพิ่มไส้พิเศษ,ช็อคโกแลต,7,11,true,true
ชิโอปัง เพิ่มไส้พิเศษ,บลูเบอรี่,7,11,true,true
ชิโอปัง เพิ่มไส้พิเศษ,ไม่เพิ่ม,0,0,true,true
ชิโอปัง เพิ่มไส้พิเศษ,วนิลา,7,11,true,true
ชิโอปัง เพิ่มไส้พิเศษ,สตรอเบอรี่,7,11,true,true
ชิโอปัง เพิ่มไส้พิเศษ,ส้ม,7,11,true,true
ซอฟต์คุกกี้ เลือกรสชาติ,ซอฟต์คุกกี้ - โกโก้,0,0,true,true
ซอฟต์คุกกี้ เลือกรสชาติ,ซอฟต์คุกกี้ - ดั่งเดิม,0,0,true,true
ซอฟต์คุกกี้ เลือกรสชาติ,ซอฟต์คุกกี้ - มัจฉะ,0,0,true,true
ท้อปปิ้ง,ไข่มุก,7,11,true,true
ท้อปปิ้ง,เจลลี่ผลไม้,7,11,true,true
ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,12,18,true,true
ท้อปปิ้ง,ช็อคขูด,17,26,true,true
ท้อปปิ้ง,ชีส,25,37,true,true
ท้อปปิ้ง,ซอสบราวน์,17,26,true,true
ท้อปปิ้ง,บุกน้ำตาล,12,18,true,true
ท้อปปิ้ง,บุกน้ำผึ้ง,12,18,true,true
ท้อปปิ้ง,บุกบราวน์,12,18,true,true
ท้อปปิ้ง,ไม่เพิ่ม,0,0,true,true
ท้อปปิ้ง,วุ้นกบไต้หวัน,7,11,true,true
ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,17,26,true,true
ท็อปปิ้งขนมปัง,ไม่เพิ่ม (ต้นตำรับ),0,0,true,true
ท็อปปิ้งขนมปัง,แยมบลูเบอร์รี่,7,11,true,true
ท็อปปิ้งขนมปัง,แยมสตรอว์เบอร์รี่,7,11,true,true
ท็อปปิ้งขนมปัง,แยมส้ม,7,11,true,true
ท็อปปิ้งขนมปัง,ราดคาราเมล ฉ่ำๆ,7,11,true,true
ท็อปปิ้งขนมปัง,ราดนมฉ่ำ ๆ,7,11,true,true
ท็อปปิ้งขนมปัง,ราดน้ำผึ้ง,7,11,true,true
ท็อปปิ้งขนมปัง,โรยน้ำตาล,0,0,true,true
ท็อปปิ้งขนมปัง,โรยผงโกโก้ + ซอสช็อกโกแลต,7,11,true,true
ประเภท,ปั่น (สูตรเข้ม),12,18,true,true
ประเภท,เย็น,0,0,true,true
โปรโมชั่น เค้กกล้วยหอม,ไม่เพิ่ม,0,0,true,true
โปรโมชั่น เค้กกล้วยหอม,สุดคุ้ม เพิ่มอีก 1 ชิ้นแบบเดียวกัน,12,18,true,true
โปรโมชั่น ชิโอปัง,ไม่เพิ่ม,0,0,true,true
โปรโมชั่น ชิโอปัง,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,12,18,true,true
โปรโมชั่น บราวนี่,ไม่เพิ่ม,0,0,true,true
โปรโมชั่น บราวนี่,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,12,18,true,true
โปรโมชั่น ปังเนยกรอบอบไอน้ำ,ไม่เพิ่ม,0,0,true,true
โปรโมชั่น ปังเนยกรอบอบไอน้ำ,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,12,18,true,true
โปรโมชั่น ปังมันม่วง,ไม่เพิ่ม,0,0,true,true
โปรโมชั่น ปังมันม่วง,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,12,18,true,true
โปรโมชั่น มันไทยอบ ดั้งเดิม,ไม่เพิ่ม,0,0,true,true
โปรโมชั่น มันไทยอบ ดั้งเดิม,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,12,18,true,true
โปรโมชั่น วาฟเฟิลเบลเยียมโฮมเมด ดั้งเดิม,ไม่เพิ่ม,0,0,true,true
โปรโมชั่น วาฟเฟิลเบลเยียมโฮมเมด ดั้งเดิม,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,12,18,true,true
โปรโมชั่น Soft Cookie โฮมเมด,ไม่เพิ่ม,0,0,true,true
โปรโมชั่น Soft Cookie โฮมเมด,สุดคุ้ม เพิ่มอีก 1 ชิ้นแบบเดียวกัน,12,18,true,true
แยกน้ำแข็ง,แยกน้ำแข็ง,7,11,true,true
รสชาติ ไอศครีม,>รสอื่นๆ< (แรนด้อม),0,0,true,true
รสชาติ ไอศครีม,นม,0,0,true,true
