category,name,nameEn,price_store,price_delivery,source
เบเกอรี่ & ไอศครีม,ชิโอปัง (Shio Pan) โฮมเมด ใหญ่ขึ้น,,19,,wongnai-export-2026-07-13
เบเกอรี่ & ไอศครีม,ปังมันม่วง อบสด โฮมเมด,Purple Yam Bun – Homemade,19,,wongnai-export-2026-07-13
"Signature Drinks (เย็น, ปั่น)",โกโก้ลาวาช็อกขูด (เย็น/ปั่น),,44,,wongnai-export-2026-07-13
"Signature Drinks (เย็น, ปั่น)",โกโก้สตรอว์เบอร์รี (เย็น/ปั่น),Cocoa Strawberry,34,,wongnai-export-2026-07-13
ผลไม้ปั่น & สมูทตี้,(สมูทตี้) มิกซ์เบอร์รี่ แก้วใหญ่ 22 ออนซ์,,54,,wongnai-export-2026-07-13
ผลไม้ปั่น & สมูทตี้,มิกซ์เบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,,44,,wongnai-export-2026-07-13
ผลไม้ปั่น & สมูทตี้,(สมูทตี้) สตรอเบอร์รี่ แก้วใหญ่ 22 ออนซ์,,39,,wongnai-export-2026-07-13
ผลไม้ปั่น & สมูทตี้,สตรอเบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,,29,,wongnai-export-2026-07-13
อิตาเลียน โซดา,สตรอว์เบอร์รีโซดา,Strawberry Soda,19,,wongnai-export-2026-07-13
เบเกอรี่ & ไอศครีม,บราวนี่โฮมเมด,,13,,wongnai-export-2026-07-13
ชา,ชาสตรอว์เบอร์รี,Strawberry Tea,19,,wongnai-export-2026-07-13
เบเกอรี่ & ไอศครีม,Ice Cream To-Go แก้วใหญ่ 16oz (แถมถุงเย็น),,25,,wongnai-export-2026-07-13
เบเกอรี่ & ไอศครีม,เค้กกล้วยหอม โฮมเมด,,13,,wongnai-export-2026-07-13
เบเกอรี่ & ไอศครีม,วาฟเฟิลเบลเยียม โฮมเมด,,13,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด เผือกลาเต้ร้อน,Fresh Coffee Hot Taro Latte,29,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด มอคค่ามิ้นต์ร้อน,Hot Mint Mocha Coffee,35,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด โกโก้มอคค่าร้อน,"Fresh Coffee, Hot Cocoa Mocha",29,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,"Fresh Coffee, Hot Ovaltine Espresso",35,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด เฮเซลนัทมอคค่าร้อน 12 ออนซ์,Hot Hazelnut Mocha Coffee,35,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด คาราเมลลาเต้ร้อน 12 ออนซ์,Hot Caramel Latte,35,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,ช็อกโกแลตมิลค์ร้อน 12 ออนซ์,Hot Chocolate Milk,25,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,นมร้อน 12 ออนซ์,Hot Milk,19,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด มอคค่า ร้อน 12 ออนซ์,Hot Mocha Coffee,29,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด Caramel Macchiato (คาราเมลมัคคิอาโต้) ร้อน 12 ออนซ์,Hot Caramel Macchiato,35,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด Flat White (แฟลตไวท์) ร้อน 12 ออนซ์,Hot Flat White,29,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด Long Black (ลองแบล็ค) ร้อน 12 ออนซ์,Hot Long Black,25,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด Cappuccino (คาปูชิโน่) ร้อน 12 ออนซ์,Hot Cappuccino,29,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด ลาเต้ (Latte) ร้อน 12 ออนซ์,Hot Latte,29,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด Espresso (เอสเปรสโซ่) ร้อน 12 ออนซ์,Hot Espresso,29,,wongnai-export-2026-07-13
* กาแฟสด อื่นๆ ร้อน,กาแฟสด อเมริกาโน่ (Americano) ร้อน 12 ออนซ์,Hot Americano,25,,wongnai-export-2026-07-13
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่มะม่วง เย็น 16 ออนซ์,"Fresh Coffee Soda, Iced Mango Espresso",25,,wongnai-export-2026-07-13
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่บ๊วย เย็น 16 ออนซ์,Espresso with Plum Soda (Iced),25,,wongnai-export-2026-07-13
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่ลิ้นจี่ เย็น 16 ออนซ์,Iced Lychee Espresso Soda,25,,wongnai-export-2026-07-13
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่เสาวรส เย็น 16 ออนซ์,Passion Fruit Espresso Soda (Iced),25,,wongnai-export-2026-07-13
* กาแฟสดฟิวชันสดชื่น,กาแฟสดโซดา เอสเปรสโซ่บลูฮาวาย เย็น 16 ออนซ์,Iced Espresso Blue Hawaii Soda,25,,wongnai-export-2026-07-13
* กาแฟสดฟิวชันสดชื่น,กาแฟสด บุกบราวน์ชูการ์ เย็น 16 ออนซ์,Iced Fresh Coffee with Brown Sugar Jelly,29,,wongnai-export-2026-07-13
* กาแฟสดฟิวชันสดชื่น,กาแฟสด น้ำผึ้งมะนาว เย็น 16 ออนซ์,Iced Honey Lemon Coffee,29,,wongnai-export-2026-07-13
* กาแฟสดฟิวชันสดชื่น,กาแฟสด บลูฮาวายเอสเปรสโซ่ เย็น 16 ออนซ์,Iced Blue Hawaii Espresso,25,,wongnai-export-2026-07-13
* กาแฟสดฟิวชันสดชื่น,กาแฟสด บ๊วยเอสเปรสโซ่ เย็น 16 ออนซ์,Iced Plum Espresso,25,,wongnai-export-2026-07-13
* กาแฟสดฟิวชันสดชื่น,กาแฟสด เสาวรสเอสเปรสโซ่ เย็น 16 ออนซ์,Passion Fruit Espresso (Iced),25,,wongnai-export-2026-07-13
* กาแฟสดนมนุ่มละมุน,กาแฟสด เอสเปรสโซ่ไทยสไตล์ เย็น 16 ออนซ์,Thai Style Iced Espresso,29,,wongnai-export-2026-07-13
* กาแฟสดนมนุ่มละมุน,กาแฟสด ไมโลกาแฟ เย็น 16 ออนซ์,Fresh Coffee Milo Coffee Iced,29,,wongnai-export-2026-07-13
* กาแฟสดนมนุ่มละมุน,กาแฟสด โอวัลตินช็อตกาแฟ เย็น 16 ออนซ์,Iced Ovaltine Coffee Shot,29,,wongnai-export-2026-07-13
* กาแฟสดนมนุ่มละมุน,ช็อกโกแลตมิลค์ เย็น 16 ออนซ์,ice Chocolate Milk,29,,wongnai-export-2026-07-13
* กาแฟสดนมนุ่มละมุน,กาแฟสด ช็อกโกแลตเอสเปรสโซ่ เย็น 16 ออนซ์,Iced Chocolate Espresso,29,,wongnai-export-2026-07-13
* กาแฟสดนมนุ่มละมุน,กาแฟสด คาราเมลมัคคิอาโต้ เย็น 16 ออนซ์,Iced Caramel Macchiato,39,,wongnai-export-2026-07-13
* กาแฟสดนมนุ่มละมุน,กาแฟสด แฟลตไวท์ เย็น 16 ออนซ์,Iced Flat White,35,,wongnai-export-2026-07-13
* กาแฟสดนมนุ่มละมุน,กาแฟสด มอคค่า เย็น 16 ออนซ์,Iced Mocha,35,,wongnai-export-2026-07-13
* กาแฟสดนมนุ่มละมุน,กาแฟสด คาปูชิโน่ เย็น 16 ออนซ์,Caffè Cappuccino with Ice,35,,wongnai-export-2026-07-13
* กาแฟสดนมนุ่มละมุน,กาแฟสด ลาเต้ เย็น 16 ออนซ์,Caffè Latte with Ice,35,,wongnai-export-2026-07-13
* กาแฟสดเข้มข้น,กาแฟสด โอเลี้ยงเฮเซลนัท เย็น 16 ออนซ์,Iced Hazelnut Oleang Coffee,29,,wongnai-export-2026-07-13
