group,option,priceDelta_store,priceDelta_delivery,source
รสชาติ ไอศครีม,นม,0,,wongnai-export-2026-07-13
รสชาติ ไอศครีม,>รสอื่นๆ< (แรนด้อม),0,,wongnai-export-2026-07-13
ท็อปปิ้งขนมปัง,ไม่เพิ่ม (ต้นตำรับ),0,,wongnai-export-2026-07-13
ท็อปปิ้งขนมปัง,โรยน้ำตาล,0,,wongnai-export-2026-07-13
ท็อปปิ้งขนมปัง,ราดนมฉ่ำ ๆ,0,,wongnai-export-2026-07-13
ท็อปปิ้งขนมปัง,ราดคาราเมล ฉ่ำๆ,3,,wongnai-export-2026-07-13
ท็อปปิ้งขนมปัง,ราดน้ำผึ้ง,3,,wongnai-export-2026-07-13
ท็อปปิ้งขนมปัง,โรยผงโกโก้ + ซอสช็อกโกแลต,3,,wongnai-export-2026-07-13
ท็อปปิ้งขนมปัง,แยมสตรอว์เบอร์รี่,3,,wongnai-export-2026-07-13
ท็อปปิ้งขนมปัง,แยมส้ม,3,,wongnai-export-2026-07-13
ท็อปปิ้งขนมปัง,แยมบลูเบอร์รี่,3,,wongnai-export-2026-07-13
ความหวาน,หวานปกติ 100%,0,,wongnai-export-2026-07-13
ความหวาน,หวานน้อย 50%,0,,wongnai-export-2026-07-13
ความหวาน,หวานน้อยมาก 25%,0,,wongnai-export-2026-07-13
ความหวาน,ไม่หวาน 0%,0,,wongnai-export-2026-07-13
ความหวาน,หวานมาก 125%,0,,wongnai-export-2026-07-13
ความหวาน,หวานมาก 150%,0,,wongnai-export-2026-07-13
ความหวาน,หวานมาก 200%,0,,wongnai-export-2026-07-13
แยกน้ำแข็ง,แยกน้ำแข็ง,3,,wongnai-export-2026-07-13
โปรโมชั่น บราวนี่,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
โปรโมชั่น บราวนี่,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,10,,wongnai-export-2026-07-13
ชิโอปัง เพิ่มไส้พิเศษ,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
ชิโอปัง เพิ่มไส้พิเศษ,ช็อคโกแลต,5,,wongnai-export-2026-07-13
ชิโอปัง เพิ่มไส้พิเศษ,วนิลา,5,,wongnai-export-2026-07-13
ชิโอปัง เพิ่มไส้พิเศษ,สตรอเบอรี่,5,,wongnai-export-2026-07-13
ชิโอปัง เพิ่มไส้พิเศษ,บลูเบอรี่,5,,wongnai-export-2026-07-13
ชิโอปัง เพิ่มไส้พิเศษ,ส้ม,5,,wongnai-export-2026-07-13
ช็อตมัทฉะ,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
ช็อตมัทฉะ,เพิ่มช็อตมัทฉะ 1 กรัม,6,,wongnai-export-2026-07-13
ช็อตมัทฉะ,เพิ่มช็อตมัทฉะ 2 กรัม,12,,wongnai-export-2026-07-13
โปรโมชั่น Soft Cookie โฮมเมด,สุดคุ้ม เพิ่มอีก 1 ชิ้นแบบเดียวกัน,10,,wongnai-export-2026-07-13
โปรโมชั่น Soft Cookie โฮมเมด,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
ท้อปปิ้ง,ชีส,20,,wongnai-export-2026-07-13
ท้อปปิ้ง,ซอสบราวน์,15,,wongnai-export-2026-07-13
ท้อปปิ้ง,บุกบราวน์,10,,wongnai-export-2026-07-13
ท้อปปิ้ง,บุกน้ำผึ้ง,10,,wongnai-export-2026-07-13
ท้อปปิ้ง,บุกน้ำตาล,10,,wongnai-export-2026-07-13
ท้อปปิ้ง,เจลลี่ผลไม้,5,,wongnai-export-2026-07-13
ท้อปปิ้ง,ไข่มุก,5,,wongnai-export-2026-07-13
ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,10,,wongnai-export-2026-07-13
ท้อปปิ้ง,วุ้นกบไต้หวัน,6,,wongnai-export-2026-07-13
ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,15,,wongnai-export-2026-07-13
ท้อปปิ้ง,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
