เมนู CODE,ชื่อเมนู,ชื่อกลุ่มตัวเลือก,ชื่อตัวเลือก,ส่วนผสม-1,การใช้-1,หน่วย-1
,ไมโล (เย็น/ปั่น),ประเภท,เย็น,,,
,ไมโล (เย็น/ปั่น),ประเภท,ปั่น (สูตรเข้ม),,,
,ไมโล (เย็น/ปั่น),ความหวาน,ไม่หวาน  0%,,,
,ไมโล (เย็น/ปั่น),ความหวาน,หวานปกติ 100%,,,
,ไมโล (เย็น/ปั่น),ความหวาน,หวานมาก 125%,,,
,ไมโล (เย็น/ปั่น),ความหวาน,หวานมาก 150%,,,
,ไมโล (เย็น/ปั่น),ความหวาน,หวานมาก 200%,,,
,ไมโล (เย็น/ปั่น),ความหวาน,หวานน้อยมาก 25%,,,
,ไมโล (เย็น/ปั่น),ความหวาน,หวานน้อย 50%,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,ชีส,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,ไข่มุก,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,ช็อคขูด,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,ไม่เพิ่ม,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,ซอสบราวน์,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำตาล,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,บุกบราวน์,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,เจลลี่ผลไม้,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,ไมโล (เย็น/ปั่น),ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,ไมโล (เย็น/ปั่น),แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,ชาพีช,ความหวาน,ไม่หวาน  0%,,,
